id,anios_estudiados,barrio,categoria_de_trabajo,edad,educacion_alcanzada,estado_marital,ganancia_perdida_declarada_bolsa_argentina,genero,horas_trabajo_registradas,religion,representatividad_poblacional,rol_familiar_registrado,trabajo
1,11,Palermo,relacion_de_dependencia,25,2_anio,sin_matrimonio,0,hombre,40,judaismo,226802,con_hijos,inspector
2,13,Palermo,relacion_de_dependencia,38,4_anio,matrimonio_civil,0,hombre,50,cristianismo,89814,casado,sector_primario
3,16,Palermo,empleado_municipal,28,universidad_2_anio,matrimonio_civil,0,hombre,40,cristianismo,336951,casado,seguridad
4,14,Palermo,relacion_de_dependencia,44,5_anio,matrimonio_civil,7688,hombre,40,judaismo,160323,casado,inspector
5,14,Palermo,,18,5_anio,sin_matrimonio,0,mujer,30,cristianismo,103497,con_hijos,
6,10,Palermo,relacion_de_dependencia,34,1_anio,sin_matrimonio,0,hombre,30,cristianismo,198693,sin_familia,otros
7,13,Palermo,,29,4_anio,sin_matrimonio,0,hombre,40,judaismo,227026,soltero_a,
8,19,Palermo,monotibutista,63,universiada_5_anio,matrimonio_civil,3103,hombre,32,cristianismo,104626,casado,profesional_especializado
9,14,Palermo,relacion_de_dependencia,24,5_anio,sin_matrimonio,0,mujer,40,cristianismo,369667,soltero_a,otros
10,8,Palermo,relacion_de_dependencia,55,7-8_grado,matrimonio_civil,0,hombre,10,cristianismo,104996,casado,reparador
11,13,Palermo,relacion_de_dependencia,65,4_anio,matrimonio_civil,6418,hombre,40,cristianismo,184454,casado,inspector
12,17,Palermo,empleadao_estatal,36,universidad_3_anio,matrimonio_civil,0,hombre,40,cristianismo,212465,casado,entretenimiento
13,13,Palermo,relacion_de_dependencia,26,4_anio,sin_matrimonio,0,mujer,39,cristianismo,82091,sin_familia,entretenimiento
14,13,Palermo,,58,4_anio,matrimonio_civil,0,hombre,35,cristianismo,299831,casado,
15,13,Palermo,relacion_de_dependencia,48,4_anio,matrimonio_civil,3103,hombre,48,cristianismo,279724,casado,inspector
16,18,Palermo,relacion_de_dependencia,43,universidad_4_anio,matrimonio_civil,0,hombre,50,cristianismo,346189,casado,directivo_gerente
17,14,Palermo,empleado_provincial,20,5_anio,sin_matrimonio,0,hombre,25,cristianismo,444554,con_hijos,otros
18,13,Palermo,relacion_de_dependencia,43,4_anio,matrimonio_civil,0,mujer,30,cristianismo,128354,casada,entretenimiento
19,13,Palermo,relacion_de_dependencia,37,4_anio,viudo_a,0,mujer,20,cristianismo,60548,soltero_a,inspector
20,20,,relacion_de_dependencia,40,universiada_6_anio,matrimonio_civil,0,hombre,45,budismo,85019,casado,profesional_especializado
21,17,Palermo,relacion_de_dependencia,34,universidad_3_anio,matrimonio_civil,0,hombre,47,cristianismo,107914,casado,soporte_tecnico
22,14,Palermo,relacion_de_dependencia,34,5_anio,sin_matrimonio,0,mujer,35,judaismo,238588,con_hijos,otros
23,8,Palermo,,72,7-8_grado,divorciado,0,mujer,6,cristianismo,132015,sin_familia,
24,17,Parque Chacabuco,relacion_de_dependencia,25,universidad_3_anio,sin_matrimonio,0,hombre,43,cristianismo,220931,sin_familia,profesional_especializado
25,17,Palermo,relacion_de_dependencia,25,universidad_3_anio,matrimonio_civil,0,hombre,40,cristianismo,205947,casado,profesional_especializado
26,13,Palermo,monotibutista,45,4_anio,matrimonio_civil,7298,hombre,90,cristianismo,432824,casado,reparador
27,13,Palermo,relacion_de_dependencia,22,4_anio,sin_matrimonio,0,hombre,20,cristianismo,236427,con_hijos,entretenimiento
28,13,Palermo,relacion_de_dependencia,23,4_anio,separado,0,hombre,54,judaismo,134446,soltero_a,inspector
29,13,Palermo,relacion_de_dependencia,54,4_anio,matrimonio_civil,0,hombre,35,cristianismo,99516,casado,reparador
30,14,Palermo,monotibutista,32,5_anio,sin_matrimonio,0,hombre,60,cristianismo,109282,sin_familia,profesional_especializado
31,14,Palermo,empleado_provincial,46,5_anio,matrimonio_civil,7688,hombre,38,judaismo,106444,casado,directivo_gerente
32,11,Palermo,monotibutista,56,2_anio,viudo_a,0,mujer,50,cristianismo,186651,soltero_a,otros
33,17,Palermo,monotibutista,24,universidad_3_anio,sin_matrimonio,0,hombre,50,cristianismo,188274,sin_familia,ventas
34,14,Palermo,empleado_municipal,23,5_anio,matrimonio_civil,0,hombre,40,cristianismo,258120,casado,seguridad
35,13,Palermo,relacion_de_dependencia,26,4_anio,divorciado,0,mujer,40,cristianismo,43311,soltero_a,directivo_gerente
36,13,Palermo,,65,4_anio,matrimonio_civil,0,hombre,40,cristianismo,191846,casado,
37,17,Palermo,empleado_municipal,36,universidad_3_anio,matrimonio_civil,0,hombre,40,cristianismo,403681,casado,profesional_especializado
38,6,Constitucion,relacion_de_dependencia,22,5-6_grado,sin_matrimonio,0,hombre,50,cristianismo,248446,sin_familia,servicio_domestico
39,10,Palermo,relacion_de_dependencia,17,1_anio,sin_matrimonio,0,hombre,40,cristianismo,269430,sin_familia,inspector
40,13,Palermo,relacion_de_dependencia,20,4_anio,sin_matrimonio,0,hombre,40,cristianismo,257509,con_hijos,reparador
41,18,Palermo,relacion_de_dependencia,65,universidad_4_anio,matrimonio_civil,0,hombre,50,cristianismo,136384,casado,profesional_especializado
42,15,Palermo,responsable_inscripto,44,universidad_1_anio,matrimonio_civil,0,hombre,45,cristianismo,120277,casado,ventas
43,13,Palermo,relacion_de_dependencia,36,4_anio,matrimonio_civil,0,hombre,40,cristianismo,465326,casado,sector_primario
44,11,Palermo,relacion_de_dependencia,29,2_anio,matrimonio_civil,0,hombre,40,cristianismo,103634,casado,otros
45,14,Palermo,empleado_provincial,20,5_anio,sin_matrimonio,0,hombre,32,cristianismo,138371,con_hijos,sector_primario
46,15,Palermo,relacion_de_dependencia,28,universidad_1_anio,matrimonio_civil,0,mujer,36,cristianismo,242832,casada,profesional_especializado
47,8,Belgrano,relacion_de_dependencia,39,7-8_grado,matrimonio_civil,0,hombre,40,cristianismo,290208,casado,reparador
48,14,Palermo,relacion_de_dependencia,54,5_anio,matrimonio_civil,3908,hombre,50,cristianismo,186272,casado,transporte
49,11,Palermo,relacion_de_dependencia,52,2_anio,separado,0,mujer,18,judaismo,201062,sin_familia,servicio_domestico
50,13,Palermo,responsable_inscripto,56,4_anio,viudo_a,0,mujer,50,cristianismo,131916,sin_familia,directivo_gerente
51,14,Palermo,relacion_de_dependencia,18,5_anio,sin_matrimonio,0,hombre,20,cristianismo,54440,con_hijos,otros
52,13,Palermo,relacion_de_dependencia,39,4_anio,divorciado,0,hombre,40,judaismo,280215,con_hijos,limpiador
53,14,Palermo,relacion_de_dependencia,21,5_anio,sin_matrimonio,-1721,mujer,24,cristianismo,214399,con_hijos,otros
54,13,Palermo,relacion_de_dependencia,22,4_anio,sin_matrimonio,14084,hombre,60,cristianismo,54164,sin_familia,otros
55,9,Belgrano,relacion_de_dependencia,38,9_grado,pareja_no_presente,0,hombre,54,cristianismo,219446,sin_familia,directivo_gerente
56,14,Palermo,relacion_de_dependencia,21,5_anio,sin_matrimonio,0,mujer,40,cristianismo,110677,con_hijos,entretenimiento
57,13,Palermo,relacion_de_dependencia,63,4_anio,matrimonio_civil,0,hombre,40,cristianismo,145985,casado,reparador
58,17,Palermo,empleado_municipal,34,universidad_3_anio,matrimonio_civil,3103,hombre,50,cristianismo,382078,casado,directivo_gerente
59,13,Palermo,responsable_inscripto,42,4_anio,matrimonio_civil,5178,hombre,50,cristianismo,170721,casado,directivo_gerente
60,13,Palermo,relacion_de_dependencia,33,4_anio,matrimonio_civil,0,hombre,40,cristianismo,269705,casado,limpiador
61,17,Palermo,relacion_de_dependencia,30,universidad_3_anio,sin_matrimonio,0,mujer,50,cristianismo,101135,sin_familia,directivo_gerente
62,14,Palermo,relacion_de_dependencia,39,5_anio,divorciado,0,hombre,40,cristianismo,118429,sin_familia,ventas
63,18,Palermo,relacion_de_dependencia,26,universidad_4_anio,sin_matrimonio,0,mujer,40,cristianismo,31208,sin_familia,directivo_gerente
64,13,Palermo,relacion_de_dependencia,33,4_anio,sin_matrimonio,0,mujer,40,cristianismo,281384,con_hijos,inspector
65,13,Palermo,empleado_municipal,47,4_anio,divorciado,0,mujer,40,cristianismo,171807,sin_familia,entretenimiento
66,17,,relacion_de_dependencia,41,universidad_3_anio,sin_matrimonio,0,mujer,40,cristianismo,109912,sin_familia,otros
67,16,Palermo,responsable_inscripto,41,universidad_2_anio,matrimonio_civil,15024,hombre,60,cristianismo,445382,casado,reparador
68,14,Palermo,relacion_de_dependencia,19,5_anio,sin_matrimonio,0,hombre,20,cristianismo,105460,con_hijos,otros
69,13,Palermo,relacion_de_dependencia,46,4_anio,separado,0,hombre,40,cristianismo,170338,sin_familia,transporte
70,13,Palermo,relacion_de_dependencia,43,4_anio,matrimonio_civil,0,hombre,48,cristianismo,102606,casado,ventas
71,14,Palermo,relacion_de_dependencia,55,5_anio,matrimonio_civil,15024,hombre,45,cristianismo,323887,casado,directivo_gerente
72,15,Palermo,relacion_de_dependencia,46,universidad_1_anio,matrimonio_civil,0,hombre,40,cristianismo,175622,casado,soporte_tecnico
73,13,Belgrano,relacion_de_dependencia,30,4_anio,matrimonio_civil,0,hombre,40,cristianismo,229636,casado,inspector
74,14,Palermo,relacion_de_dependencia,21,5_anio,separado,0,mujer,40,cristianismo,388946,sin_familia,limpiador
75,14,Coghland,relacion_de_dependencia,46,5_anio,matrimonio_civil,0,hombre,40,otro,269034,casado,reparador
