anios_estudiados,barrio,categoria_de_trabajo,edad,educacion_alcanzada,estado_marital,ganancia_perdida_declarada_bolsa_argentina,genero,horas_trabajo_registradas,religion,rol_familiar_registrado,tiene_alto_valor_adquisitivo,trabajo
17,Palermo,empleado_provincial,39,universidad_3_anio,sin_matrimonio,2174,hombre,40,cristianismo,sin_familia,0,entretenimiento
17,Palermo,monotibutista,50,universidad_3_anio,matrimonio_civil,0,hombre,13,cristianismo,casado,0,directivo_gerente
13,Palermo,relacion_de_dependencia,38,4_anio,divorciado,0,hombre,40,cristianismo,sin_familia,0,limpiador
11,Palermo,relacion_de_dependencia,53,2_anio,matrimonio_civil,0,hombre,40,judaismo,casado,0,limpiador
17,Balvanera,relacion_de_dependencia,28,universidad_3_anio,matrimonio_civil,0,mujer,40,judaismo,casada,0,profesional_especializado
18,Palermo,relacion_de_dependencia,37,universidad_4_anio,matrimonio_civil,0,mujer,40,cristianismo,casada,0,directivo_gerente
9,Caballito,relacion_de_dependencia,49,9_grado,pareja_no_presente,0,mujer,16,judaismo,sin_familia,0,otros
13,Palermo,monotibutista,52,4_anio,matrimonio_civil,0,hombre,45,cristianismo,casado,1,directivo_gerente
18,Palermo,relacion_de_dependencia,31,universidad_4_anio,sin_matrimonio,14084,mujer,50,cristianismo,sin_familia,1,profesional_especializado
17,Palermo,relacion_de_dependencia,42,universidad_3_anio,matrimonio_civil,5178,hombre,40,cristianismo,casado,1,directivo_gerente
14,Palermo,relacion_de_dependencia,37,5_anio,matrimonio_civil,0,hombre,80,judaismo,casado,1,directivo_gerente
17,Almagro,empleado_provincial,30,universidad_3_anio,matrimonio_civil,0,hombre,40,budismo,casado,1,profesional_especializado
17,Palermo,relacion_de_dependencia,23,universidad_3_anio,sin_matrimonio,0,mujer,30,cristianismo,con_hijos,0,entretenimiento
16,Palermo,relacion_de_dependencia,32,universidad_2_anio,sin_matrimonio,0,hombre,50,judaismo,sin_familia,0,ventas
15,,relacion_de_dependencia,40,universidad_1_anio,matrimonio_civil,0,hombre,40,budismo,casado,1,reparador
8,Belgrano,relacion_de_dependencia,34,7-8_grado,matrimonio_civil,0,hombre,45,ateismo,casado,0,transporte
13,Palermo,monotibutista,25,4_anio,sin_matrimonio,0,hombre,35,cristianismo,con_hijos,0,sector_primario
13,Palermo,relacion_de_dependencia,32,4_anio,sin_matrimonio,0,hombre,40,cristianismo,soltero_a,0,inspector
11,Palermo,relacion_de_dependencia,38,2_anio,matrimonio_civil,0,hombre,50,cristianismo,casado,0,ventas
18,Palermo,monotibutista,43,universidad_4_anio,divorciado,0,mujer,45,cristianismo,soltero_a,1,directivo_gerente
20,Palermo,relacion_de_dependencia,40,universiada_6_anio,matrimonio_civil,0,hombre,60,cristianismo,casado,1,profesional_especializado
13,Palermo,relacion_de_dependencia,54,4_anio,separado,0,mujer,20,judaismo,soltero_a,0,otros
9,Palermo,empleadao_estatal,35,9_grado,matrimonio_civil,0,hombre,40,judaismo,casado,0,sector_primario
11,Palermo,relacion_de_dependencia,43,2_anio,matrimonio_civil,-2042,hombre,40,cristianismo,casado,0,transporte
13,Palermo,relacion_de_dependencia,59,4_anio,divorciado,0,mujer,40,cristianismo,soltero_a,0,soporte_tecnico
17,Palermo,empleado_municipal,56,universidad_3_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,1,soporte_tecnico
13,Palermo,relacion_de_dependencia,19,4_anio,sin_matrimonio,0,hombre,40,cristianismo,con_hijos,0,reparador
14,Boedo,,54,5_anio,matrimonio_civil,0,hombre,60,budismo,casado,1,
13,Palermo,relacion_de_dependencia,39,4_anio,divorciado,0,hombre,80,cristianismo,sin_familia,0,directivo_gerente
13,Palermo,relacion_de_dependencia,49,4_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,0,reparador
16,Palermo,empleado_municipal,23,universidad_2_anio,sin_matrimonio,0,hombre,52,cristianismo,sin_familia,0,seguridad
14,Palermo,relacion_de_dependencia,20,5_anio,sin_matrimonio,0,hombre,44,judaismo,con_hijos,0,ventas
17,Palermo,relacion_de_dependencia,45,universidad_3_anio,divorciado,-1408,hombre,40,cristianismo,con_hijos,0,directivo_gerente
14,Palermo,empleadao_estatal,30,5_anio,matrimonio_civil,0,hombre,40,cristianismo,con_hijos,0,entretenimiento
14,Palermo,empleado_provincial,22,5_anio,matrimonio_civil,0,hombre,15,judaismo,casado,0,otros
11,La Boca,relacion_de_dependencia,48,2_anio,sin_matrimonio,0,hombre,40,cristianismo,soltero_a,0,inspector
14,Palermo,relacion_de_dependencia,21,5_anio,sin_matrimonio,0,hombre,40,cristianismo,con_hijos,0,inspector
13,Palermo,relacion_de_dependencia,19,4_anio,matrimonio_militar,0,mujer,25,cristianismo,casada,0,entretenimiento
14,,relacion_de_dependencia,31,5_anio,matrimonio_civil,0,hombre,38,cristianismo,casado,1,ventas
16,Palermo,monotibutista,48,universidad_2_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,0,profesional_especializado
9,Palermo,relacion_de_dependencia,31,9_grado,matrimonio_civil,0,hombre,43,cristianismo,casado,0,inspector
17,Palermo,monotibutista,53,universidad_3_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,0,profesional_especializado
17,Palermo,relacion_de_dependencia,24,universidad_3_anio,matrimonio_civil,0,hombre,50,cristianismo,casado,0,soporte_tecnico
13,Palermo,relacion_de_dependencia,49,4_anio,separado,0,mujer,40,cristianismo,soltero_a,0,entretenimiento
13,Palermo,relacion_de_dependencia,25,4_anio,sin_matrimonio,0,hombre,35,cristianismo,sin_familia,0,limpiador
17,Palermo,empleadao_estatal,57,universidad_3_anio,matrimonio_civil,0,hombre,40,judaismo,casado,1,profesional_especializado
13,Palermo,relacion_de_dependencia,53,4_anio,matrimonio_civil,0,hombre,38,cristianismo,casado,0,inspector
18,Palermo,relacion_de_dependencia,44,universidad_4_anio,divorciado,0,mujer,40,cristianismo,soltero_a,0,directivo_gerente
15,Palermo,empleado_provincial,41,universidad_1_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,0,reparador
15,Palermo,relacion_de_dependencia,29,universidad_1_anio,sin_matrimonio,0,hombre,43,cristianismo,sin_familia,0,profesional_especializado
14,Palermo,relacion_de_dependencia,25,5_anio,matrimonio_civil,0,mujer,40,otro,casada,0,directivo_gerente
13,,relacion_de_dependencia,18,4_anio,sin_matrimonio,0,mujer,30,cristianismo,con_hijos,0,otros
19,Versalles,relacion_de_dependencia,47,universiada_5_anio,matrimonio_civil,-1902,mujer,60,cristianismo,casada,1,profesional_especializado
17,Palermo,empleadao_estatal,50,universidad_3_anio,divorciado,0,hombre,55,cristianismo,sin_familia,1,directivo_gerente
13,Palermo,responsable_inscripto,47,4_anio,divorciado,0,hombre,60,cristianismo,sin_familia,0,directivo_gerente
14,Palermo,relacion_de_dependencia,43,5_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,1,soporte_tecnico
6,Belgrano,relacion_de_dependencia,46,5-6_grado,matrimonio_civil,0,hombre,40,cristianismo,casado,0,inspector
15,La Boca,relacion_de_dependencia,35,universidad_1_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,0,otros
13,Palermo,relacion_de_dependencia,41,4_anio,matrimonio_civil,0,hombre,48,cristianismo,casado,0,entretenimiento
13,Palermo,relacion_de_dependencia,30,4_anio,matrimonio_civil,5013,hombre,40,cristianismo,casado,0,inspector
17,Palermo,relacion_de_dependencia,30,universidad_3_anio,matrimonio_civil,2407,hombre,40,cristianismo,casado,0,ventas
8,,,32,7-8_grado,pareja_no_presente,0,hombre,40,cristianismo,sin_familia,0,
13,Palermo,relacion_de_dependencia,48,4_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,0,transporte
20,Palermo,relacion_de_dependencia,42,universiada_6_anio,matrimonio_civil,0,hombre,45,cristianismo,casado,1,profesional_especializado
14,Palermo,relacion_de_dependencia,29,5_anio,divorciado,0,hombre,58,cristianismo,sin_familia,0,soporte_tecnico
13,Palermo,relacion_de_dependencia,36,4_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,0,reparador
14,Palermo,relacion_de_dependencia,28,5_anio,divorciado,0,mujer,40,cristianismo,sin_familia,0,entretenimiento
13,Palermo,relacion_de_dependencia,53,4_anio,matrimonio_civil,0,mujer,40,cristianismo,casada,1,entretenimiento
14,Palermo,responsable_inscripto,49,5_anio,matrimonio_civil,0,hombre,50,cristianismo,casado,1,directivo_gerente
14,Palermo,,25,5_anio,sin_matrimonio,0,hombre,40,cristianismo,con_hijos,0,
14,Palermo,relacion_de_dependencia,19,5_anio,sin_matrimonio,0,hombre,32,cristianismo,con_hijos,0,profesional_especializado
17,Palermo,relacion_de_dependencia,31,universidad_3_anio,separado,0,mujer,40,judaismo,con_hijos,0,ventas
17,Palermo,monotibutista,29,universidad_3_anio,matrimonio_civil,0,hombre,70,cristianismo,casado,1,ventas
14,Palermo,relacion_de_dependencia,23,5_anio,sin_matrimonio,0,hombre,40,cristianismo,sin_familia,0,inspector
14,Palermo,relacion_de_dependencia,79,5_anio,matrimonio_civil,0,hombre,20,cristianismo,otro,0,profesional_especializado
13,Belgrano,relacion_de_dependencia,27,4_anio,sin_matrimonio,0,hombre,40,cristianismo,con_hijos,0,otros
16,Palermo,relacion_de_dependencia,40,universidad_2_anio,matrimonio_civil,0,hombre,40,cristianismo,casado,0,entretenimiento
